State,Year,Value
Arunachal Pradesh,2005-06,769
Assam,2005-06,1551
Himachal Pradesh,2005-06,2120
Jammu and Kashmir,2005-06,3743
Manipur,2005-06,738
Meghalaya,2005-06,333
Mizoram,2005-06,584
Nagaland,2005-06,748
Sikkim,2005-06,378
Tripura,2005-06,910
Uttarakhand,2005-06,2053
NCT Delhi,2005-06,4626
Puducherry,2005-06,379
Andhra Pradesh,2006-07,15210
Bihar,2006-07,6551
Chhattisgarh,2006-07,3188
Goa,2006-07,708
Gujarat,2006-07,9968
Haryana,2006-07,3276
Jharkhand,2006-07,4492
Karnataka,2006-07,10649
Kerala,2006-07,2335
Madhya Pradesh,2006-07,7854
Maharashtra,2006-07,14456
Orissa,2006-07,3574
Punjab,2006-07,7753
Rajasthan,2006-07,6902
Tamil Nadu,2006-07,12882
Uttar Pradesh,2006-07,19284
West Bengal,2006-07,7042
Arunachal Pradesh,2006-07,889
Assam,2006-07,2028
Himachal Pradesh,2006-07,2447
Jammu and Kashmir,2006-07,3806
Manipur,2006-07,1211
Meghalaya,2006-07,413
Mizoram,2006-07,578
Nagaland,2006-07,863
Sikkim,2006-07,366
Tripura,2006-07,819
Uttarakhand,2006-07,2039
NCT Delhi,2006-07,5211
Puducherry,2006-07,460
Andhra Pradesh,2007-08,20892
Bihar,2007-08,8008
Chhattisgarh,2007-08,4189
Goa,2007-08,781
Gujarat,2007-08,9142
Haryana,2007-08,4553
Jharkhand,2007-08,5264
Karnataka,2007-08,10656
Kerala,2007-08,3801
Madhya Pradesh,2007-08,9664
Maharashtra,2007-08,15460
Orissa,2007-08,5121
Punjab,2007-08,3458
Rajasthan,2007-08,8630
Tamil Nadu,2007-08,12773
Uttar Pradesh,2007-08,22081
West Bengal,2007-08,8330
Arunachal Pradesh,2007-08,809
Assam,2007-08,2406
Himachal Pradesh,2007-08,2322
Jammu and Kashmir,2007-08,5361
Manipur,2007-08,1427
Meghalaya,2007-08,517
Mizoram,2007-08,651
Nagaland,2007-08,991
Sikkim,2007-08,471
