State,Year,Value
NCT Delhi,2005-06,-245
Puducherry,2005-06,279
Andhra Pradesh,2006-07,5643
Bihar,2006-07,3021
Chhattisgarh,2006-07,-33
Goa,2006-07,487
Gujarat,2006-07,5649
Haryana,2006-07,-1179
Jharkhand,2006-07,5257
Karnataka,2006-07,4688
Kerala,2006-07,3822
Madhya Pradesh,2006-07,2754
Maharashtra,2006-07,11553
Orissa,2006-07,-823
Punjab,2006-07,4384
Rajasthan,2006-07,3970
Tamil Nadu,2006-07,3956
Uttar Pradesh,2006-07,9615
West Bengal,2006-07,11431
Arunachal Pradesh,2006-07,-106
Assam,2006-07,-711
Himachal Pradesh,2006-07,921
Jammu and Kashmir,2006-07,1461
Manipur,2006-07,475
Meghalaya,2006-07,75
Mizoram,2006-07,191
Nagaland,2006-07,156
Sikkim,2006-07,97
Tripura,2006-07,-131
Uttarakhand,2006-07,886
NCT Delhi,2006-07,410
Puducherry,2006-07,399
Andhra Pradesh,2007-08,8787
Bihar,2007-08,1705
Chhattisgarh,2007-08,128
Goa,2007-08,541
Gujarat,2007-08,4771
Haryana,2007-08,1264
Jharkhand,2007-08,6217
Karnataka,2007-08,5331
Kerala,2007-08,6100
Madhya Pradesh,2007-08,2784
Maharashtra,2007-08,-2821
Orissa,2007-08,-1323
Punjab,2007-08,4604
Rajasthan,2007-08,3408
Tamil Nadu,2007-08,3686
Uttar Pradesh,2007-08,13794
West Bengal,2007-08,11400
Arunachal Pradesh,2007-08,-16
Assam,2007-08,-790
Himachal Pradesh,2007-08,552
Jammu and Kashmir,2007-08,2609
Manipur,2007-08,-102
Meghalaya,2007-08,214
Mizoram,2007-08,392
Nagaland,2007-08,397
Sikkim,2007-08,64
Tripura,2007-08,17
Uttarakhand,2007-08,1742
NCT Delhi,2007-08,2041
Puducherry,2007-08,331
Andhra Pradesh,2008-09(RE),10428
Bihar,2008-09(RE),7494
Chhattisgarh,2008-09(RE),2256
Goa,2008-09(RE),896
Gujarat,2008-09(RE),10360
Haryana,2008-09(RE),3708
Jharkhand,2008-09(RE),3751
Karnataka,2008-09(RE),9357
Kerala,2008-09(RE),6315
Madhya Pradesh,2008-09(RE),5372
Maharashtra,2008-09(RE),16220
Orissa,2008-09(RE),2561
Punjab,2008-09(RE),6856
Rajasthan,2008-09(RE),6549
Tamil Nadu,2008-09(RE),9248
Uttar Pradesh,2008-09(RE),20557
West Bengal,2008-09(RE),12694
Arunachal Pradesh,2008-09(RE),1015
Assam,2008-09(RE),2177
Himachal Pradesh,2008-09(RE),1864
Jammu and Kashmir,2008-09(RE),2325
Manipur,2008-09(RE),473
Meghalaya,2008-09(RE),125
Mizoram,2008-09(RE),372
Nagaland,2008-09(RE),721
Sikkim,2008-09(RE),345
Tripura,2008-09(RE),756
Uttarakhand,2008-09(RE),1557
NCT Delhi,2008-09(RE),4235
Puducherry,2008-09(RE),1115
Andhra Pradesh,2009-10(BE),16152
Bihar,2009-10(BE),3696
Chhattisgarh,2009-10(BE),2564
Goa,2009-10(BE),1389
Gujarat,2009-10(BE),12148
Haryana,2009-10(BE),8557
Jharkhand,2009-10(BE),4232
Karnataka,2009-10(BE),8493
Kerala,2009-10(BE),5681
Madhya Pradesh,2009-10(BE),6436
Maharashtra,2009-10(BE),26562
Orissa,2009-10(BE),6004
Punjab,2009-10(BE),9660
Rajasthan,2009-10(BE),8420
Tamil Nadu,2009-10(BE),11823
Uttar Pradesh,2009-10(BE),23299
West Bengal,2009-10(BE),22984
Arunachal Pradesh,2009-10(BE),1118
Assam,2009-10(BE),10864
Himachal Pradesh,2009-10(BE),1592
Jammu and Kashmir,2009-10(BE),2205
Manipur,2009-10(BE),407
Meghalaya,2009-10(BE),614
Mizoram,2009-10(BE),212
Nagaland,2009-10(BE),591
Sikkim,2009-10(BE),457
Tripura,2009-10(BE),1277
Uttarakhand,2009-10(BE),2071
NCT Delhi,2009-10(BE),2890
Puducherry,2009-10(BE),901
