State,Year,Value
Goa,2003-04,686
Gujarat,2003-04,8992
Haryana,2003-04,2818
Jharkhand,2003-04,4320
Karnataka,2003-04,8315
Kerala,2003-04,5924
Madhya Pradesh,2003-04,6787
Maharashtra,2003-04,18877
Orissa,2003-04,4360
Punjab,2003-04,3525
Rajasthan,2003-04,9228
Tamil Nadu,2003-04,11586
Uttar Pradesh,2003-04,12999
West Bengal,2003-04,9008
Arunachal Pradesh,2003-04,620
Assam,2003-04,3709
Himachal Pradesh,2003-04,2348
Jammu and Kashmir,2003-04,2493
Manipur,2003-04,603
Meghalaya,2003-04,640
Mizoram,2003-04,652
Nagaland,2003-04,644
Sikkim,2003-04,406
Tripura,2003-04,963
Uttarakhand,2003-04,2027
NCT Delhi,2003-04,3465
Puducherry,2003-04,–
Andhra Pradesh,2004-05,13821
Bihar,2004-05,6117
Chhattisgarh,2004-05,3635
Goa,2004-05,798
Gujarat,2004-05,10127
Haryana,2004-05,3497
Jharkhand,2004-05,5127
Karnataka,2004-05,9764
Kerala,2004-05,7344
Madhya Pradesh,2004-05,7268
Maharashtra,2004-05,20433
Orissa,2004-05,4598
Punjab,2004-05,3747
Rajasthan,2004-05,9845
Tamil Nadu,2004-05,13617
Uttar Pradesh,2004-05,16932
West Bengal,2004-05,9732
Arunachal Pradesh,2004-05,650
Assam,2004-05,4775
Himachal Pradesh,2004-05,2328
Jammu and Kashmir,2004-05,3104
Manipur,2004-05,873
Meghalaya,2004-05,741
Mizoram,2004-05,647
Nagaland,2004-05,629
Sikkim,2004-05,479
Tripura,2004-05,1121
Uttarakhand,2004-05,2327
NCT Delhi,2004-05,4267
Puducherry,2004-05,–
Andhra Pradesh,2005-06,14900
Bihar,2005-06,8663
Chhattisgarh,2005-06,4295
Goa,2005-06,880
Gujarat,2005-06,10995
Haryana,2005-06,4742
Jharkhand,2005-06,6156
Karnataka,2005-06,11675
Kerala,2005-06,7524
Madhya Pradesh,2005-06,9425
Maharashtra,2005-06,24268
Orissa,2005-06,5386
Punjab,2005-06,4052
Rajasthan,2005-06,10920
Tamil Nadu,2005-06,14297
Uttar Pradesh,2005-06,20141
West Bengal,2005-06,11445
Arunachal Pradesh,2005-06,742
Assam,2005-06,4452
Himachal Pradesh,2005-06,2804
Jammu and Kashmir,2005-06,4030
Manipur,2005-06,939
Meghalaya,2005-06,767
Mizoram,2005-06,722
Nagaland,2005-06,804
Sikkim,2005-06,501
Tripura,2005-06,1121
Uttarakhand,2005-06,2781
NCT Delhi,2005-06,4566
